user_id,username,card_name
2025-10-21T15:08:20.045688,803113397213462588,itsallpixels,LOR
2025-10-21T15:09:50.381304,803113397213462588,itsallpixels,Amiel
2025-10-21T15:14:59.544178,803113397213462588,itsallpixels,Taxolous
2025-10-21T15:16:15.414804,803113397213462588,itsallpixels,Alm
2025-10-21T15:19:54.049290,803113397213462588,itsallpixels,Island
2025-10-21T15:19:54.424447,730642159731998774,lazyslothster,Island
2025-10-21T15:22:08.182760,994823657996177458,princedogethethird,Concept
2025-10-21T15:35:14.642875,1187644569484013641,pillowcenat67,RPG
2025-10-21T15:52:38.931714,911521189812391966,mostlymono,LB
2025-10-21T16:13:01.115339,898591162233925682,bwaynem,CA
2025-10-21T16:14:49.496302,1024266899745406986,alternativeforanalternative,Wayne
2025-10-21T16:34:11.433940,898591162233925682,bwaynem,Jurger
2025-10-21T16:45:21.748927,803113397213462588,itsallpixels,Amiel
2025-10-21T16:49:55.002642,803113397213462588,itsallpixels,TB
2025-10-21T16:58:58.222810,1237244832687325305,tee.vet,Kalani
2025-10-21T17:22:15.555246,1230130106719272980,theunknown098965334,Siber
2025-10-21T17:53:34.065467,898591162233925682,bwaynem,Amiel
2025-10-21T17:53:44.503732,898591162233925682,bwaynem,Doge
2025-10-21T17:57:27.175016,803113397213462588,itsallpixels,RPG
2025-10-21T18:10:00.532355,730642159731998774,lazyslothster,Roblocky
2025-10-21T18:36:50.748231,748888893650239578,netharian_order_nethy,DD
2025-10-21T18:51:34.652182,1207314080377868322,wassoiguy,SecuritySeb
2025-10-21T19:04:08.795679,1207314080377868322,wassoiguy,LOR
2025-10-21T19:04:18.313748,898591162233925682,bwaynem,Parachute
2025-10-21T19:26:10.600372,748888893650239578,netharian_order_nethy,Nethy
2025-10-21T19:27:05.022841,898591162233925682,bwaynem,Pao
2025-10-21T19:27:58.828352,803113397213462588,itsallpixels,Yoshuze
2025-10-21T19:41:29.480907,803113397213462588,itsallpixels,SturgeonGod
2025-10-21T19:50:18.198229,898591162233925682,bwaynem,Yoshuze
2025-10-21T19:50:46.348520,898591162233925682,bwaynem,TB
2025-10-21T19:51:06.317278,1207314080377868322,wassoiguy,Submarine
2025-10-21T19:51:16.494644,1207314080377868322,wassoiguy,Alm
2025-10-21T19:53:07.903429,898591162233925682,bwaynem,Robrob
2025-10-21T20:15:08.030321,898591162233925682,bwaynem,Yoshuze
2025-10-21T20:15:36.999572,803113397213462588,itsallpixels,SturgeonGod
2025-10-21T20:34:07.548858,898591162233925682,bwaynem,TB
2025-10-21T20:34:17.467157,898591162233925682,bwaynem,Yoshuze
2025-10-21T20:53:14.668904,1024266899745406986,alternativeforanalternative,RB
2025-10-21T21:13:07.425825,898591162233925682,bwaynem,Submarine
2025-10-21T21:13:15.225500,898591162233925682,bwaynem,CL
2025-10-21T21:36:04.719028,897476441749471262,mokeyu,Submarine
2025-10-21T21:37:58.709120,803113397213462588,itsallpixels,BB
2025-10-22T10:23:49.806825,897476441749471262,mokeyu,RB
2025-10-22T10:59:07.950672,897476441749471262,mokeyu,RPG
2025-10-22T11:26:49.040593,897476441749471262,mokeyu,Parachute
2025-10-22T11:41:43.002557,803113397213462588,itsallpixels,Malaysiasoldier2
